2026-01-27 04:50:23 ::1 (pid 17836) :Pub:HS: spip_connect: fichier de connexion '' non trouve, pas de connexion serveur
2026-01-27 04:55:52 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:52 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:52 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:52 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:52 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:52 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:52 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:54 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:54 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:54 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:54 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:54 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:54 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:54 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:54 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:55 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:55 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:55 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:55 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:55 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 04:55:55 127.0.0.1 (pid 5276) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:20 127.0.0.1 (pid 11868) :Pub:HS: spip_connect: fichier de connexion '' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:27 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:27:29 127.0.0.1 (pid 11868) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:23 127.0.0.1 (pid 4132) :Pub:HS: spip_connect: fichier de connexion '' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:29 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:32 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:32 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:32 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:32 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:32 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:32 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:32 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:32 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:33 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:33 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:33 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:33 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:33 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:33 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:43 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:43 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:43 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:43 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:43 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:43 127.0.0.1 (pid 4132) :Pri:HS: Echec mysqli_connect. Erreur : Access denied for user ''@'localhost' (using password: NO)
2026-01-27 05:31:43 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:31:43 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:50 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:51 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:51 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:51 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:51 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:51 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:51 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:57 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:57 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:57 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:57 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:57 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:57 127.0.0.1 (pid 4132) :Pri:HS: Echec mysqli_connect. Erreur : Access denied for user ''@'localhost' (using password: NO)
2026-01-27 05:32:57 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:32:57 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:33:35 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:33:35 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:33:35 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:33:35 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:33:35 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:33:35 127.0.0.1 (pid 4132) :Pri:HS: Echec mysqli_connect. Erreur : Access denied for user 'admin'@'localhost' (using password: NO)
2026-01-27 05:33:35 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:33:35 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:45 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:45 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:45 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:45 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:45 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:45 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:45 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:51 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
2026-01-27 05:34:52 127.0.0.1 (pid 4132) :Pri:HS: spip_connect: fichier de connexion '../config/connect.tmp.php' non trouve, pas de connexion serveur
